MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE
11,2,12,RSA,RUS,Scrum,14,14,TRY,,
11,2,13,RUS,RSA,Restart,1,1,HE,,HE: fwd pass
11,2,14,RSA,RUS,Scrum,15,13,TRY,,
11,2,15,RSA,RUS,Scrum,8,9,HE,,HE: ball thrown to touch
12,1,1,JPN,SCO,Restart,5,4,Tackled to touch,,
12,1,2,SCO,JPN,Line out,12,13,TRY,,
12,1,3,SCO,JPN,PK,5,15,TRY,PK: offside on restart,
12,1,4,JPN,SCO,Restart,6,8,HE,,HE: lost fwd in tackle
12,1,5,SCO,JPN,Poach,8,12,HE,,HE: knock on
12,1,6,JPN,SCO,PK,4,8,HE,PK: offside,HE: lost fwd in tackle
12,1,7,SCO,JPN,Scrum,8,13,Tackled to touch,,
12,1,8,JPN,SCO,Line out,6,2,Poached,,
12,1,9,SCO,JPN,Poach,11,11,HE,HE: fwd pass,HE: fwd pass
12,2,10,SCO,JPN,Line out,4,14,TRY,,
12,2,11,JPN,SCO,Restart,5,14,TRY,,
12,2,12,SCO,JPN,Line out,6,13,HE,,HE: knock on
12,2,13,JPN,SCO,Scrum,1,15,TRY,,
12,2,14,JPN,SCO,Reclaim,11,14,Poached,,
12,2,15,SCO,JPN,Poach,2,5,PEN,,PEN: not releasing
12,2,16,JPN,SCO,PK,11,13,TRY,PK: not releasing,
13,1,1,SAM,PHL,Restart,6,5,HE,,HE: knock on
13,1,2,PHL,SAM,Scrum,8,9,HE,,HE: knock on
13,1,3,SAM,PHL,Scrum,7,13,HE,,HE: knock on
13,1,4,PHL,SAM,Scrum,3,7,Poached,,
13,1,5,SAM,PHL,Poach,9,10,HE,,HE: fwd pass
13,1,6,PHL,SAM,Scrum,4,3,HE,,HE: knock on
13,1,7,SAM,PHL,Scrum,13,13,Poached,,
13,1,8,PHL,SAM,Poach,2,2,HE,,HE: fwd pass
13,1,9,SAM,PHL,Scrum,14,14,TRY,,
13,2,10,PHL,SAM,Scrum,6,6,HE,,HE: knock on
13,2,11,SAM,PHL,Intercept,10,13,TRY,,
13,2,12,PHL,SAM,Scrum,6,7,Poached,,
13,2,13,SAM,PHL,Poach,9,13,TRY,,
13,2,14,PHL,SAM,PK,8,2,Tackled in goal,PK: illegal contact on restart,
13,2,15,SAM,PHL,Scrum,14,14,TRY,Scrum: tackled in own goal,
13,2,16,PHL,SAM,FK,8,8,Counter ruck,FK: restart not 10,
13,2,17,SAM,PHL,Counter ruck,8,13,TRY,,
14,1,1,KEN,ZIM,Reclaim,11,11,PEN,,PEN: diving over
14,1,2,ZIM,KEN,PK,5,9,Kick,PK: diving over,
14,1,3,KEN,ZIM,Kick,1,3,Maul,,
14,1,4,ZIM,KEN,Scrum,10,12,HE,,HE: ball thrown to touch
14,1,5,KEN,ZIM,Line out,4,4,HE,,HE: not straight
14,1,6,ZIM,KEN,Scrum,12,12,Counter ruck,,
14,1,7,KEN,ZIM,Counter ruck,4,14,TRY,,
14,1,8,KEN,ZIM,Reclaim,10,14,TRY,,
14,1,9,ZIM,KEN,Restart,5,5,Poached,,
14,1,10,KEN,ZIM,Poach,11,14,TRY,,
14,1,11,ZIM,KEN,Restart,5,13,TRY,,
14,2,12,KEN,ZIM,Restart,1,13,PEN,,PEN: not releasing
14,2,13,ZIM,KEN,PK,3,3,Kick,PK: not releasing,
14,2,14,KEN,ZIM,Kick,8,14,TRY,,
14,2,15,KEN,ZIM,Reclaim,11,12,HE,,HE: knock on
14,2,16,ZIM,KEN,Scrum,4,6,Kick,,
14,2,17,KEN,ZIM,Kick,4,4,PEN,,PEN: not releasing
14,2,18,ZIM,KEN,PK,12,8,Counter ruck,PK: not releasing,
14,2,19,KEN,ZIM,Counter ruck,8,14,TRY,,
14,2,20,ZIM,KEN,Restart,6,9,HE,,HE: fwd pass
14,2,21,KEN,ZIM,Scrum,7,5,PEN,,PEN: hands in ruck
14,2,22,ZIM,KEN,PK,12,7,HE,PK: hands in ruck,HE:knock on
14,2,23,KEN,ZIM,Intercept,9,9,Tackled to touch,,
15,1,1,GEO,NZL,Scrum,2,7,Line out stolen,,
15,1,2,NZL,GEO,Line out stolen,9,13,Intercept,,
15,1,3,GEO,NZL,Intercept,3,8,HE,,HE: lost fwd in tackle
15,1,4,NZL,GEO,Intercept,8,14,TRY,,
15,1,5,GEO,NZL,Restart,6,7,PEN,,PEN: not releasing
15,1,6,NZL,GEO,PK,9,14,TRY,PK: not releasing,
15,1,7,GEO,NZL,Restart,2,13,Poached,,
15,1,8,NZL,GEO,Poach,1,9,Poached,,
15,1,9,GEO,NZL,Poach,7,11,HE,,HE: knock on
15,2,10,GEO,NZL,Reclaim,12,13,Poached,,
15,2,11,NZL,GEO,Poach,3,14,TRY,,
15,2,12,GEO,NZL,Restart,5,8,Kick,,
15,2,13,NZL,GEO,Kick,2,2,Poached,,
15,2,14,GEO,NZL,Poach,14,14,TRY,,
15,2,15,NZL,GEO,Restart,4,14,TRY,,
15,2,16,GEO,NZL,Restart,4,6,HE,,HE: knock on
15,2,17,NZL,GEO,Scrum,10,15,HE,,HE: ball lost in tackle
15,2,18,GEO,NZL,Poach,1,1,Kick,,
15,2,19,NZL,GEO,Kick,3,8,HE,,HE: knock on
15,2,20,GEO,NZL,FK,8,11,HE,FK: scrum failed to engage,
16,1,1,CAN,USA,Reclaim,8,15,TRY,,
16,1,2,USA,CAN,Restart,3,12,Tackled to touch,,
