MATCH,HALF,POSS,TEAM,OPP,SOURCE,START,END,LOST,SOURCE NOTE,LOST NOTE,,,,,,
13,2,14,RSA,ASM,PK,8,14,TRY,PK: ball carrier not releasing,,,,,,,
13,2,15,ASM,RSA,Restart,4,7,Poached,,Poached: wrong side poach,,,,,,
13,2,16,RSA,ASM,Poach,9,13,TRY,,TRY: converted,,,,,,
13,2,17,ASM,RSA,Restart,5,2,Intercept,,,,,,,,
13,2,18,RSA,ASM,Intercept,14,14,TRY,,,,,,,,
13,2,19,ASM,RSA,Restart,4,1,PEN,,PEN: ball carrier not releasing,,,,,,
13,2,20,RSA,ASM,PK,15,13,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
14,1,1,WAL,KEN,Restart,3,14,TRY,,,,,,,,
14,1,2,KEN,WAL,Restart,4,2,Intercept,,,,,,,,
14,1,3,WAL,KEN,Intercept,14,14,TRY,,TRY: converted,,,,,,
14,1,4,KEN,WAL,Restart,4,7,HE,,HE: knock on,,,,,,
14,1,5,WAL,KEN,Scrum,9,7,PEN,,PEN: double move,,,,,,
14,1,6,KEN,WAL,PK,9,12,HE,PK: double move,HE: knock on,,,,,,
14,1,7,WAL,KEN,Line out,4,2,Kick,,,,,,,,
14,1,8,KEN,WAL,Kick,8,14,HE,,HE: knock on,,,,,,
14,1,9,WAL,KEN,Scrum,2,2,Kick to touch,,,,,,,,
14,2,10,WAL,KEN,Reclaim,10,13,TRY,,,,,,,,
14,2,11,KEN,WAL,Restart,2,14,TRY,,TRY: converted,,,,,,
14,2,12,WAL,KEN,Restart,5,5,PEN,,PEN: double move,,,,,,
14,2,13,KEN,WAL,PK,11,14,TRY,PK: double move,TRY: converted,,,,,,
14,2,14,KEN,WAL,Scrum,11,14,TRY,Scrum: knocked on restart,,,,,,,
14,2,15,WAL,KEN,Restart,6,8,HE,,HE: knock on,,,,,,
14,2,16,KEN,WAL,Scrum,8,8,Kick,,,,,,,,
14,2,17,WAL,KEN,Kick,1,15,TRY,,,,,,,,
15,1,1,FIJ,POR,Line out,10,14,HE,Line out: restart to touch,HE: fwd pass,,,,,,
15,1,2,POR,FIJ,Scrum,2,2,PEN,,PEN: off side,,,,,,
15,1,3,FIJ,POR,PK,13,15,TRY,PK: off side,TRY: converted,,,,,,
15,1,4,POR,FIJ,Restart,6,1,HE,,HE: lost fwd in tackle,,,,,,
15,1,5,FIJ,POR,Scrum,15,13,TRY,,,,,,,,
15,1,6,FIJ,POR,Reclaim,7,11,HE,,HE: knock on,,,,,,
15,1,7,POR,FIJ,Scrum,5,10,PEN,,PEN: ball carrier not releasing,,,,,,
15,1,8,FIJ,POR,PK,6,6,HE,PK: ball carrier not releasing,HE: knock on,,,,,,
15,2,9,FIJ,POR,Restart,6,13,TRY,,,,,,,,
15,2,10,POR,FIJ,Restart,5,14,Poached,,,,,,,,
15,2,11,FIJ,POR,Poach,2,13,Tackled in goal,,,,,,,,
15,2,12,FIJ,POR,22,8,7,Intercept,,,,,,,,
15,2,13,POR,FIJ,Intercept,9,15,Tackled to touch,,,,,,,,
15,2,14,FIJ,POR,Line out,1,14,TRY,,TRY: converted,,,,,,
15,2,15,POR,FIJ,Scrum,6,2,PEN,Scrum: knocked on restart,PEN: collapsing the ruck,,,,,,
15,2,16,FIJ,POR,PK,14,14,TRY,PK: collapsing the ruck,TRY: converted,,,,,,
15,2,17,FIJ,POR,Reclaim,11,14,TRY,,TRY: converted,,,,,,
16,1,1,AUS,SCO,Scrum,11,13,TRY,Scrum: knocked on restart,,,,,,,
16,1,2,SCO,AUS,Restart,6,15,Intercept,,,,,,,,
16,1,3,AUS,SCO,Intercept,1,1,Intercept,,,,,,,,
16,1,4,SCO,AUS,Intercept,15,1,TRY,,TRY: converted,,,,,,
16,1,5,AUS,SCO,FK,8,11,Poached,FK: restart direct to touch,,,,,,,
16,1,6,SCO,AUS,Poach,5,14,TRY,Poach: uncovered ruck,TRY: converted,,,,,,
16,1,7,AUS,SCO,FK,8,10,HE,FK: restart not 10,HE: knock on,,,,,,
16,1,8,SCO,AUS,PK,6,9,Kick to touch,PK: collapsing the scrum,,,,,,,
16,2,9,AUS,SCO,Restart,5,5,HE,,HE: knock on,,,,,,
16,2,10,SCO,AUS,Scrum,11,11,Scrum lost,,,,,,,,
16,2,11,AUS,SCO,Scrum stolen,5,2,Kick to touch,,,,,,,,
16,2,12,SCO,AUS,Line out,4,4,Line out infraction,,Line out: not straight,,,,,,
16,2,13,AUS,SCO,Scrum,12,13,TRY,,TRY: converted,,,,,,
16,2,14,AUS,SCO,Reclaim,11,14,TRY,,TRY: converted,,,,,,
16,2,15,AUS,SCO,Reclaim,12,15,TRY,,,,,,,,
16,2,16,SCO,AUS,Scrum,4,5,Counter ruck,Scrum: knocked on restart,Counter ruck: knock on,,,,,,
17,1,1,ARG,USA,Restart,4,4,HE,,HE: ball lost fwd in tackle,,,,,,
17,1,2,USA,ARG,Intercept,9,10,PEN,,PEN: ball carrier not releasing,,,,,,
17,1,3,ARG,USA,PK,6,13,TRY,PK: ball carrier not releasing,,,,,,,
17,1,4,USA,ARG,Restart,6,14,TRY,,TRY: converted,,,,,,
17,1,5,ARG,USA,Restart,4,11,Intercept,,,,,,,,
17,1,6,USA,ARG,Intercept,2,3,Tackled to touch,,,,,,,,
17,1,7,ARG,USA,Line out,13,14,TRY,,TRY: converted,,,,,,
17,2,8,USA,ARG,Restart,6,3,PEN,,PEN: double move,,,,,,
17,2,9,ARG,USA,PK,13,13,Tackled to touch,PK: double move,,,,,,,
17,2,10,USA,ARG,Line out,3,7,HE,,HE: ball lost fwd in tackle,,,,,,
17,2,11,ARG,USA,Scrum,9,7,Kick,,,,,,,,
17,2,12,USA,ARG,Kick,6,7,Intercept,,,,,,,,
17,2,13,ARG,USA,Intercept,9,14,TRY,,TRY: converted,,,,,,
17,2,14,USA,ARG,Restart,7,11,HE,,HE: knock on,,,,,,
17,2,15,ARG,USA,Scrum,5,5,Scrum lost,,,,,,,,
17,2,16,USA,ARG,Scrum stolen,11,13,TRY,,TRY: converted,,,,,,
17,2,17,ARG,USA,Restart,6,14,TRY,,TRY: converted,,,,,,
18,1,1,ENG,CAN,Restart,6,14,TRY,,TRY: converted,,,,,,
18,1,2,CAN,ENG,Restart,5,14,TRY,,TRY: converted,,,,,,
18,1,3,CAN,ENG,Reclaim,11,11,PEN,,PEN: hands in the ruck,,,,,,
18,1,4,ENG,CAN,PK,5,7,Kick,PK: hands in the ruck,,,,,,,
18,1,5,CAN,ENG,Kick,2,2,Kick,,,,,,,,
18,1,6,ENG,CAN,Kick,7,8,Intercept,,,,,,,,
18,1,7,CAN,ENG,Intercept,8,13,Intercept,,,,,,,,
18,1,8,ENG,CAN,Intercept,3,14,TRY,,TRY: converted,,,,,,
18,2,9,CAN,ENG,Scrum,5,13,PEN,Scrum: knocked on restart,PEN: diving over,,,,,,
18,2,10,ENG,CAN,PK,4,11,HE,,HE: knock on,,,,,,
18,2,11,CAN,ENG,Scrum,5,9,HE,,HE: fwd pass,,,,,,
18,2,12,ENG,CAN,Scrum,7,15,TRY,,,,,,,,
18,2,13,CAN,ENG,Restart,8,15,TRY,,,,,,,,
18,2,14,ENG,CAN,Restart,6,8,PEN,,PEN: ball carrier not releasing,,,,,,
18,2,15,CAN,ENG,PK,8,8,Kick to touch,PK: ball carrier not releasing,,,,,,,
19,1,1,JPN,FRA,Restart,6,8,Poached,,,,,,,,
19,1,2,FRA,JPN,Poach,8,14,TRY,,TRY: converted,,,,,,
19,1,3,JPN,FRA,Restart,5,7,Kick,,,,,,,,
19,1,4,FRA,JPN,Kick,7,14,TRY,,,,,,,,
19,1,5,JPN,FRA,Restart,6,8,PEN,,PEN: ball carrier not releasing,,,,,,
19,1,6,FRA,JPN,PK,8,14,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
19,1,7,JPN,FRA,Restart,7,13,Counter ruck,,Counter ruck: uncovered,,,,,,
19,1,8,FRA,JPN,Counter ruck,3,4,HE,,HE: knock on,,,,,,
19,1,9,JPN,FRA,Scrum,12,14,Poached,,,,,,,,
19,1,10,FRA,JPN,Poach,2,1,PEN,,PEN: ball carrier not releasing,,,,,,
19,1,11,JPN,FRA,PK,1,14,TRY,PK: ball carrier not releasing,TRY: converted,,,,,,
